"","sample","reads.in","reads.out","merged","tabled","nonchim"
"1","BF1",12491,11352,11350,11350,11350
"2","BF10",17422,15886,15880,15880,15880
"3","BF2",11659,10659,10641,10641,10641
"4","BF246",0,0,NA,NA,NA
"5","BF247",0,0,NA,NA,NA
"6","BF248",0,0,NA,NA,NA
"7","BF249",0,0,NA,NA,NA
"8","BF250",0,0,NA,NA,NA
"9","BF251",0,0,NA,NA,NA
"10","BF252",0,0,NA,NA,NA
"11","BF253",0,0,NA,NA,NA
"12","BF254",0,0,NA,NA,NA
"13","BF255",0,0,NA,NA,NA
"14","BF256",0,0,NA,NA,NA
"15","BF257",0,0,NA,NA,NA
"16","BF258",0,0,NA,NA,NA
"17","BF259",0,0,NA,NA,NA
"18","BF260",0,0,NA,NA,NA
"19","BF261",0,0,NA,NA,NA
"20","BF262",0,0,NA,NA,NA
"21","BF263",0,0,NA,NA,NA
"22","BF3",14611,13099,13096,13096,13096
"23","BF4",14828,13584,13576,13576,13576
"24","BF5",16695,15006,14885,14885,14885
"25","BF6",16269,14725,14715,14715,14715
"26","BF7",15668,14179,14109,14109,14109
"27","BF8",14801,13359,13354,13354,13354
"28","BF9",13108,11500,11434,11434,11434
